molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL299512,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])c(C)c1,active,339.273,5.088300000000005,1.0,2.0,5.7447274948966935
CHEMBL299512,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])c(C)c1,intermediate,418.16900000000004,5.461700000000005,1.0,2.0,6.292429823902063
CHEMBL50023,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,intermediate,377.322,6.115200000000006,1.0,2.0,5.978810700930062
CHEMBL50023,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,active,379.29400000000004,5.084000000000004,0.0,3.0,6.730487055782084
CHEMBL49754,C=C1C=C(C)CC(C)(C)C1Sc1ccc([N+](=O)[O-])cc1,active,379.29400000000004,5.084000000000004,0.0,3.0,5.8696662315049934
CHEMBL49754,C=C1C=C(C)CC(C)(C)C1Sc1ccc([N+](=O)[O-])cc1,active,407.34800000000007,5.698100000000005,0.0,3.0,6.376750709602099
CHEMBL49966,CCOC1=CC(=O)C(Cc2ccc([N+](=O)[O-])cc2)C(C)(C)C1,active,407.34800000000007,5.698100000000005,0.0,3.0,5.612076533026563
CHEMBL48358,C=C1C=CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,intermediate,369.2990000000002,4.449200000000005,2.0,3.0,6.106238237942057
CHEMBL48358,C=C1C=CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,active,369.2990000000002,4.449200000000005,2.0,3.0,6.552841968657781
CHEMBL53549,C=C1C[C@H](C)CC(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,active,325.246,4.698200000000004,1.0,2.0,5.0
CHEMBL299778,C=C1CCC[C@H](C)[C@H]1Cc1cc(OC)c(Br)cc1O,active,325.246,4.698200000000004,1.0,2.0,5.978810700930062
CHEMBL299778,C=C1CCC[C@H](C)[C@H]1Cc1cc(OC)c(Br)cc1O,intermediate,351.284,5.254400000000005,1.0,2.0,6.522878745280337
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,intermediate,351.284,5.254400000000005,1.0,2.0,9.744727494896694
CHEMBL1276308,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,active,393.3210000000001,5.474100000000005,0.0,3.0,9.455931955649724
CHEMBL417729,C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,active,393.3210000000001,5.474100000000005,0.0,3.0,6.130181792020672
CHEMBL417729,C=C1CCCC(C)(C)[C@H]1Cc1cc(OC)c(Br)cc1O,active,351.2840000000001,5.254400000000005,1.0,2.0,6.6777807052660805
CHEMBL51639,C=C1CC[C@@H](Br)C(C)(C)[C@@H]1Cc1cc(OC)c(Br)cc1O,intermediate,351.2840000000001,5.254400000000005,1.0,2.0,5.455931955649724
CHEMBL49978,C=C1C=C(C)CC(C)(C)C1C/C=C/c1cc(OC)c(Br)cc1O,active,310.319,4.656900000000004,2.0,3.0,5.795880017344075
CHEMBL51933,C=C1C=C(C)C[C@@H](C)[C@@H]1Cc1cc(OC)c(Br)cc1OC(C)=O,active,454.49200000000013,5.777700000000004,1.0,4.0,6.455931955649724
